2023-08-17 16:10:52 - User: test, Login Attempt: FAILED
2023-08-17 16:11:03 - User: admin, Login Attempt: FAILED
2023-08-17 16:35:11 - User: admin, Login Attempt: SUCCESSFUL
2023-08-17 16:43:42 - User: test, Login Attempt: SUCCESSFUL
2023-08-17 17:09:03 - User: test, Login Attempt: SUCCESSFUL
2023-08-17 17:17:31 - User: admin, Login Attempt: SUCCESSFUL
2023-08-17 17:22:35 - User: test, Login Attempt: SUCCESSFUL
2023-08-17 18:13:10 - User: test, Login Attempt: SUCCESSFUL
2023-08-17 18:28:04 - User: test, Login Attempt: SUCCESSFUL
2023-08-17 20:55:35 - User: admin, Login Attempt: SUCCESSFUL
2023-08-17 21:01:04 - User: test, Login Attempt: SUCCESSFUL
2023-08-17 21:12:33 - User: test, Login Attempt: SUCCESSFUL
2023-08-17 21:26:01 - User: test, Login Attempt: SUCCESSFUL
2023-08-17 22:01:02 - User: test, Login Attempt: SUCCESSFUL
2023-08-17 22:04:21 - User: test, Login Attempt: SUCCESSFUL
2023-08-17 22:26:09 - User: admin, Login Attempt: FAILED
2023-08-17 22:26:22 - User: admin, Login Attempt: FAILED
2023-08-17 22:27:49 - User: test, Login Attempt: FAILED
2023-08-17 22:32:57 - User: test, Login Attempt: FAILED
2023-08-17 22:46:06 - User: test, Login Attempt: FAILED
2023-08-17 22:50:49 - User: test, Login Attempt: FAILED
2023-08-17 23:29:23 - User: test, Login Attempt: SUCCESSFUL
2023-08-17 23:42:34 - User: test, Login Attempt: SUCCESSFUL
2023-08-17 23:44:34 - User: admin, Login Attempt: SUCCESSFUL
